Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
PHL,2014-04-01,2014-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2014,2014,,96.464394,X,base year is 2015
PHL,2015-04-01,2015-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2015,2015,,99.631612,X,base year is 2015
PHL,2016-04-01,2016-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2016,2016,,100.446039,X,base year is 2015
PHL,2017-04-01,2017-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2017,2017,,103.794240,X,base year is 2015
PHL,2018-04-01,2018-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2018,2018,,109.947691,X,base year is 2015
PHL,2019-04-01,2019-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2019,2019,,113.295893,X,base year is 2015
PHL,2020-04-01,2020-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2020,2020,,117.096554,X,base year is 2015
PHL,2021-04-01,2021-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2021,2021,,122.707053,X,base year is 2015
PHL,2022-04-01,2022-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2022,2022,,125.805185,X,base year is 2015
PHL,2000-05-01,2000-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2000,2000,,50.659460,A,base year is 2015
PHL,2001-05-01,2001-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2001,2001,,52.401887,A,base year is 2015
PHL,2002-05-01,2002-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2002,2002,,53.563505,A,base year is 2015
PHL,2003-05-01,2003-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2003,2003,,54.079780,A,base year is 2015
PHL,2004-05-01,2004-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2004,2004,,56.919291,A,base year is 2015
PHL,2005-05-01,2005-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2005,2005,,60.855886,A,base year is 2015
PHL,2006-05-01,2006-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2006,2006,,64.211672,A,base year is 2015
PHL,2007-05-01,2007-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2007,2007,,66.147702,A,base year is 2015
PHL,2008-05-01,2008-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2008,2008,,75.247045,A,base year is 2015
PHL,2009-05-01,2009-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2009,2009,,80.022586,A,base year is 2015
PHL,2010-05-01,2010-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2010,2010,,82.733029,A,base year is 2015
PHL,2011-05-01,2011-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2011,2011,,87.831242,A,base year is 2015
PHL,2012-05-01,2012-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2012,2012,,89.677500,X,base year is 2015
PHL,2013-05-01,2013-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2013,2013,,91.668322,X,base year is 2015
PHL,2014-05-01,2014-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2014,2014,,97.007346,X,base year is 2015
PHL,2015-05-01,2015-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2015,2015,,99.450628,X,base year is 2015
PHL,2016-05-01,2016-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2016,2016,,100.808007,X,base year is 2015
PHL,2017-05-01,2017-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2017,2017,,103.884732,X,base year is 2015
PHL,2018-05-01,2018-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2018,2018,,109.857199,X,base year is 2015
PHL,2019-05-01,2019-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2019,2019,,113.567368,X,base year is 2015
PHL,2020-05-01,2020-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2020,2020,,116.915570,X,base year is 2015
PHL,2021-05-01,2021-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2021,2021,,122.254593,X,base year is 2015
PHL,2022-05-01,2022-05-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2022,2022,,126.587972,X,base year is 2015
PHL,2000-06-01,2000-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2000,2000,,50.594926,A,base year is 2015
PHL,2001-06-01,2001-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2001,2001,,52.724559,A,base year is 2015
PHL,2002-06-01,2002-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2002,2002,,53.628040,A,base year is 2015
PHL,2003-06-01,2003-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2003,2003,,54.660589,A,base year is 2015
PHL,2004-06-01,2004-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2004,2004,,57.564635,A,base year is 2015
PHL,2005-06-01,2005-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2005,2005,,61.243092,A,base year is 2015
PHL,2006-06-01,2006-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2006,2006,,64.405275,A,base year is 2015
PHL,2007-06-01,2007-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2007,2007,,66.405840,A,base year is 2015
PHL,2008-06-01,2008-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2008,2008,,77.118541,A,base year is 2015
PHL,2009-06-01,2009-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2009,2009,,80.216189,A,base year is 2015
PHL,2010-06-01,2010-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2010,2010,,83.055701,A,base year is 2015
PHL,2011-06-01,2011-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2011,2011,,88.024845,A,base year is 2015
